id,SID,password,MSallotment,DDallotment,access,user_id
1,drd621,hello,60,273,2,1
2,frv897,hello,77,265,2,2
3,qbg469,hello,49,63,2,3
4,ook006,hello,33,50,2,4
5,ofr175,hello,79,56,2,5
6,aod183,hello,6,118,2,6
7,gwg418,hello,79,186,2,7
8,qut260,hello,89,289,2,8
9,clh388,hello,16,188,2,9
10,zbf331,hello,76,277,2,10
11,nnt032,hello,45,186,2,11
12,hha870,hello,59,84,2,12
13,igs687,hello,27,27,2,13
14,mho694,hello,74,202,2,14
15,axo637,hello,49,213,2,15
16,ucc312,hello,42,149,2,16
17,syb439,hello,26,163,2,17
18,ohc296,hello,19,298,2,18
19,ijq002,hello,46,285,2,19
20,mzb926,hello,38,151,2,20
21,fdz550,hello,96,101,2,21
22,wqs469,hello,95,60,2,22
23,cqx156,hello,38,210,2,23
24,ijm516,hello,79,231,2,24
25,rft948,hello,75,9,2,25
26,xwn348,hello,41,252,2,26
27,aye243,hello,61,236,2,27
28,fhb892,hello,65,18,2,28
29,evf716,hello,24,293,2,29
30,mtw383,hello,78,132,2,30
31,eqf288,hello,29,266,2,31
32,vfd551,hello,82,193,2,32
33,koq207,hello,43,134,2,33
34,owa950,hello,46,23,2,34
35,nsr983,hello,51,206,2,35
36,lsr221,hello,100,47,2,36
37,ezq212,hello,66,59,2,37
38,huq808,hello,1,54,2,38
39,ydp304,hello,52,109,2,39
40,rjw547,hello,63,219,2,40
41,qjt105,hello,67,164,2,41
42,epi003,hello,93,150,2,42
43,dve699,hello,19,154,2,43
44,inl758,hello,86,200,2,44
45,vvi539,hello,90,56,2,45
46,qtp081,hello,89,234,2,46
47,xix733,hello,21,136,2,47
48,lfs663,hello,41,180,2,48
49,lvv968,hello,43,251,2,49
50,xrq002,hello,87,82,2,50
51,sgm076,hello,83,72,2,51
52,vde584,hello,53,71,2,52
53,czs790,hello,28,223,2,53
54,tkz615,hello,60,87,2,54
55,bap654,hello,63,96,2,55
56,qtt526,hello,8,167,2,56
57,gag096,hello,35,266,2,57
58,btt471,hello,44,255,2,58
59,gse500,hello,22,298,2,59
60,gjh478,hello,49,277,2,60
61,dim722,hello,60,98,2,61
62,bal263,hello,73,259,2,62
63,ftg477,hello,91,67,2,63
64,xvt657,hello,83,202,2,64
65,pvt650,hello,49,251,2,65
66,gvj673,hello,99,155,2,66
67,kze040,hello,14,131,2,67
68,dsm731,hello,50,175,2,68
69,apk051,hello,82,117,2,69
70,yde886,hello,3,18,2,70
71,ibx741,hello,82,29,2,71
72,epz786,hello,84,5,2,72
73,hvc765,hello,98,165,2,73
74,clw230,hello,63,287,2,74
75,evr263,hello,82,230,2,75
76,qpo653,hello,52,233,2,76
77,jgm352,hello,37,19,2,77
78,twv845,hello,17,1,2,78
79,xfj640,hello,57,102,2,79
80,qit288,hello,63,105,2,80
81,uly062,hello,55,63,2,81
82,rdc736,hello,72,78,2,82
83,una663,hello,12,255,2,83
84,nvt008,hello,42,249,2,84
85,acg171,hello,73,189,2,85
86,eox737,hello,42,140,2,86
87,sbq519,hello,92,8,2,87
88,jhh704,hello,74,193,2,88
89,yfa052,hello,75,86,2,89
90,ycf470,hello,57,62,2,90
91,obf582,hello,41,108,2,91
92,vsv665,hello,90,82,2,92
93,vvf802,hello,57,94,2,93
94,kyq130,hello,52,97,2,94
95,asm852,hello,93,290,2,95
96,whh770,hello,75,70,2,96
97,sia471,hello,42,46,2,97
98,crb735,hello,46,241,2,98
99,zts246,hello,96,278,2,99
100,xty605,hello,18,279,2,100
101,hrl145,hello,90,104,2,101
102,hox454,hello,0,8,2,102
103,cwy789,hello,19,72,2,103
104,lxs648,hello,98,146,2,104
105,ils574,hello,60,253,2,105
106,qlr928,hello,83,110,2,106
107,tpi239,hello,36,169,2,107
108,cqj129,hello,52,66,2,108
109,eao655,hello,68,102,2,109
110,grk300,hello,81,278,2,110
111,ebz656,hello,39,69,2,111
112,hog137,hello,13,72,2,112
113,qol000,hello,89,194,2,113
114,zcj702,hello,91,208,2,114
115,fal445,hello,62,9,2,115
116,wyo380,hello,29,176,2,116
117,eqm585,hello,1,109,2,117
118,lkj374,hello,97,202,2,118
119,pux269,hello,45,59,2,119
120,jne924,hello,91,128,2,120
121,ugi019,hello,16,174,2,121
122,wrf817,hello,59,3,2,122
123,pmw002,hello,46,247,2,123
124,rkq072,hello,46,5,2,124
125,plw618,hello,90,106,2,125
126,kqi810,hello,65,12,2,126
127,nnj099,hello,71,286,2,127
128,giw710,hello,27,190,2,128
129,uyo173,hello,3,281,2,129
130,kup928,hello,100,244,2,130
131,nhm415,hello,29,263,2,131
132,gmu620,hello,64,33,2,132
133,yrc283,hello,97,204,2,133
134,zva428,hello,94,248,2,134
135,ugw255,hello,89,62,2,135
136,mim037,hello,90,157,2,136
137,wog978,hello,29,124,2,137
138,qak760,hello,9,242,2,138
139,rlr257,hello,90,98,2,139
140,lpb863,hello,88,50,2,140
141,pkf011,hello,97,7,2,141
142,bqh231,hello,1,211,2,142
143,lgu537,hello,68,182,2,143
144,crk328,hello,4,101,2,144
145,ngw899,hello,55,169,2,145
146,fsp068,hello,51,150,2,146
147,krq032,hello,51,245,2,147
148,pwq976,hello,16,63,2,148
149,etf099,hello,69,274,2,149
150,gnf573,hello,73,69,2,150
151,jnx926,hello,29,154,2,151
152,nlc396,hello,78,280,2,152
153,glw707,hello,64,169,2,153
154,bju067,hello,2,53,2,154
155,shk245,hello,18,55,2,155
156,pkt612,hello,8,292,2,156
157,oif569,hello,71,148,2,157
158,jig260,hello,61,104,2,158
159,fuq515,hello,37,31,2,159
160,seo417,hello,39,17,2,160
161,das189,hello,37,146,2,161
162,owt465,hello,84,102,2,162
163,akr692,hello,41,174,2,163
164,hzo453,hello,7,61,2,164
165,bcj640,hello,6,143,2,165
166,bpq465,hello,91,6,2,166
167,bxt565,hello,97,102,2,167
168,ukw848,hello,39,257,2,168
169,bpt734,hello,98,202,2,169
170,nfs007,hello,22,242,2,170
171,jcn123,hello,43,88,2,171
172,tls063,hello,43,265,2,172
173,fcd296,hello,84,92,2,173
174,fvr079,hello,22,290,2,174
175,cpm823,hello,50,240,2,175
176,mwv431,hello,36,215,2,176
177,thx758,hello,14,238,2,177
178,rxj763,hello,34,15,2,178
179,msx381,hello,73,264,2,179
180,nij057,hello,88,43,2,180
181,gdn030,hello,22,282,2,181
182,gtn133,hello,63,157,2,182
183,ven280,hello,5,156,2,183
184,ppk518,hello,70,19,2,184
185,mng605,hello,51,221,2,185
186,bbf024,hello,34,158,2,186
187,dct180,hello,61,98,2,187
188,enj025,hello,29,11,2,188
189,sfx079,hello,47,251,2,189
190,ndn881,hello,63,57,2,190
191,lge152,hello,24,88,2,191
192,coj578,hello,92,196,2,192
193,mxw826,hello,8,139,2,193
194,uyd023,hello,90,295,2,194
195,kfh957,hello,92,121,2,195
196,try210,hello,2,122,2,196
197,vfp393,hello,93,21,2,197
198,kef537,hello,16,90,2,198
199,zbk575,hello,59,26,2,199
200,bfw967,hello,0,133,2,200
201,jpb786,hello,87,106,2,201
202,ypk246,hello,93,18,2,202
203,kkp967,hello,20,110,2,203
204,hwd128,hello,84,149,2,204
